City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Klaksvik,FO,62.2266,-6.589,50.92,86,100,22.44,overcast clouds
213,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,11.5,overcast clouds
214,Qunduz,AF,36.729,68.857,89.98,11,0,1.79,clear sky
215,Nouadhibou,MR,20.931,-17.0347,69.42,86,0,33.51,clear sky
216,Yarmouth,US,41.7057,-70.2286,86.14,76,20,14.97,few clouds
217,Gainsborough,GB,53.3833,-0.7667,84.47,30,0,10.36,clear sky
218,Maine-Soroa,NE,13.2114,12.0241,75.31,78,99,15.41,overcast clouds
219,Komsomolskiy,UZ,40.4272,71.7189,81.32,39,0,4.61,clear sky
220,Leshukonskoye,RU,64.8989,45.7622,62.73,64,100,2.82,overcast clouds
221,Marsh Harbour,BS,26.5412,-77.0636,83.95,74,61,17.22,broken clouds
222,Marfino,RU,55.7028,37.3822,64.17,69,20,6.71,light intensity shower rain
223,Zile,TR,40.3031,35.8864,62.71,89,12,3.31,few clouds
224,Qaqortoq,GL,60.7167,-46.0333,46.72,76,100,11.79,overcast clouds
225,Constitucion,CL,-35.3333,-72.4167,49.41,92,100,10.87,moderate rain
226,La Primavera,CO,5.4906,-70.4092,84.96,69,99,3.98,overcast clouds
227,Thompson,CA,55.7435,-97.8558,80.76,50,40,9.22,scattered clouds
228,Dwarka,IN,22.2394,68.9678,81.63,84,95,20.87,overcast clouds
229,Santa Cruz,BO,-17.8,-63.1667,59.05,72,75,9.22,broken clouds
230,Kinkala,CG,-4.3614,14.7644,73.49,63,27,4.92,scattered clouds
231,Necochea,AR,-38.5473,-58.7368,55.89,41,12,19.48,few clouds
232,Carballo,ES,43.213,-8.691,83.62,83,60,2.08,broken clouds
233,Zheleznodorozhnyy,RU,55.7503,38.0042,63.01,67,95,2.75,overcast clouds
234,Thunder Bay,CA,48.4001,-89.3168,73.31,68,20,10.36,few clouds
235,San Giovanni In Fiore,IT,39.2633,16.6996,73.06,36,0,4.0,clear sky
236,Imbituba,BR,-28.24,-48.6703,59.09,81,100,7.0,overcast clouds
237,Havelock,US,34.8791,-76.9013,89.56,71,20,12.66,few clouds
238,Constantine,DZ,36.365,6.6147,85.41,39,0,10.36,clear sky
239,Thinadhoo,MV,0.5333,72.9333,78.37,82,100,19.42,overcast clouds
240,Cayenne,GF,4.9333,-52.3333,87.84,1,20,8.05,few clouds
241,Narayanpet,IN,16.7333,77.5,75.52,89,100,14.92,overcast clouds
242,Viedma,AR,-40.8135,-62.9967,53.67,38,98,25.52,overcast clouds
243,Camamu,BR,-13.9447,-39.1039,76.82,71,39,5.73,scattered clouds
244,Laguna,US,38.421,-121.4238,102.09,34,0,8.05,clear sky
245,Dosso,NE,13.049,3.1937,85.03,59,59,8.63,broken clouds
246,Guanica,PR,17.9716,-66.908,92.1,71,56,21.39,broken clouds
247,Tallahassee,US,30.4383,-84.2807,89.01,63,75,3.0,broken clouds
248,Antofagasta,CL,-23.65,-70.4,58.28,67,0,7.4,clear sky
249,Nanortalik,GL,60.1432,-45.2371,43.65,82,100,13.24,overcast clouds
250,Zenzeli,RU,45.9241,47.0474,85.21,40,14,0.58,few clouds
251,Saint George,US,37.1041,-113.5841,105.8,21,0,17.27,clear sky
252,Matara,LK,5.9485,80.5353,78.96,86,100,9.8,overcast clouds
253,Beloha,MG,-25.1667,45.05,65.07,75,0,12.37,clear sky
254,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,82,0,16.11,clear sky
255,Belyy Yar,RU,53.6039,91.3903,66.09,77,0,13.42,moderate rain
256,Mangan,IN,27.5167,88.5333,76.69,94,85,0.85,overcast clouds
257,Baghdad,IQ,33.3406,44.4009,96.71,17,0,8.05,clear sky
258,Wattegama,LK,6.7989,81.4808,76.33,85,100,3.85,overcast clouds
259,Marzuq,YE,14.4,46.4667,84.07,16,100,0.45,overcast clouds
260,Gamba,GA,-2.65,10.0,70.92,85,15,7.99,few clouds
261,Clyde River,CA,70.4692,-68.5914,35.83,87,75,17.27,broken clouds
262,Zyryanovsk,KZ,49.7386,84.2719,58.06,91,97,2.21,moderate rain
263,Rio De Janeiro,BR,-22.9028,-43.2075,89.6,53,0,8.05,clear sky
264,Disna,BY,55.568,28.1971,53.38,92,63,7.0,broken clouds
265,Rio Grande,BR,-32.035,-52.0986,57.31,64,0,11.32,clear sky
266,Sarahan,IN,31.5167,77.8,64.83,92,32,0.38,scattered clouds
267,Kedrovyy,RU,56.1667,91.8167,55.87,98,79,8.77,broken clouds
268,Cap Malheureux,MU,-19.9842,57.6142,70.47,61,0,8.99,clear sky
269,Anastacio,BR,-20.4836,-55.8069,79.18,42,100,3.78,overcast clouds
270,Chapais,CA,49.7834,-74.8492,79.12,28,28,8.16,scattered clouds
271,Mizdah,LY,31.4451,12.9801,82.78,28,0,13.85,clear sky
272,Manaus,BR,-3.1019,-60.025,91.9,62,40,9.22,scattered clouds
273,Yar-Sale,RU,66.8333,70.8333,56.39,67,98,5.14,overcast clouds
274,Pisco,PE,-13.7,-76.2167,64.45,72,3,10.36,haze
275,Guaranda,EC,-1.6,-79.0,62.82,73,57,1.95,light rain
276,Hamilton,US,39.1834,-84.5333,75.78,94,100,12.66,moderate rain
277,Dingle,PH,10.9995,122.6711,74.88,93,100,1.97,light rain
278,Ullapool,GB,57.8987,-5.1604,62.35,84,100,3.36,overcast clouds
279,Hambantota,LK,6.1241,81.1185,80.28,79,100,15.37,overcast clouds
280,Buritizeiro,BR,-17.3511,-44.9622,88.02,23,6,2.37,clear sky
281,La Arena,PE,-5.3466,-80.7109,81.61,43,0,12.64,clear sky
282,Fevik,NO,58.3794,8.6766,63.09,78,100,12.03,overcast clouds
283,Turukhansk,RU,65.8167,87.9833,55.31,65,10,13.4,clear sky
284,Mahebourg,MU,-20.4081,57.7,70.25,66,53,22.75,light rain
285,Nioki,CD,-2.7167,17.6833,82.26,47,83,3.22,broken clouds
286,Saint-Augustin,CA,51.226,-58.6502,67.17,69,100,20.96,overcast clouds
287,Oktyabrskiy,RU,54.4815,53.471,66.56,86,100,2.8,overcast clouds
288,Ulsteinvik,NO,62.3432,5.8487,61.75,76,53,10.0,broken clouds
289,Crisan,RO,44.9667,29.4667,69.87,39,2,6.89,clear sky
290,Lixourion,GR,38.2019,20.4314,86.0,48,0,8.05,clear sky
291,Benoy,TD,8.9833,16.3199,72.5,89,100,4.79,overcast clouds
292,Krasnaya Gora,RU,52.9995,31.6023,53.73,92,95,6.06,light rain
293,Pokhara,NP,28.2333,83.9833,74.95,90,99,1.74,light rain
294,Adrar,MR,20.5022,-10.0711,106.59,8,72,8.99,broken clouds
295,Grand Gaube,MU,-20.0064,57.6608,70.38,60,1,8.99,clear sky
296,Pasni,PK,25.2631,63.471,85.66,81,97,11.41,overcast clouds
297,Tupelo,US,34.2576,-88.7034,97.09,43,0,5.75,clear sky
298,Muisne,EC,0.6,-80.0333,75.81,84,99,10.58,overcast clouds
299,Paamiut,GL,61.994,-49.6678,42.48,89,100,7.38,overcast clouds
300,Lannion,FR,48.75,-3.4167,88.34,40,0,6.91,clear sky
301,Duku,NG,11.2361,4.9073,75.56,87,100,4.83,overcast clouds
302,Mbour,SN,14.422,-16.9638,83.25,70,9,14.85,clear sky
303,Aksu,CN,41.1231,80.2644,80.1,24,0,12.73,clear sky
304,Strezhevoy,RU,60.7333,77.5889,55.94,84,100,11.79,overcast clouds
305,Zugdidi,GE,42.5088,41.8709,69.64,93,100,2.15,overcast clouds
306,Bandarbeyla,SO,9.4942,50.8122,76.35,82,9,35.81,clear sky
307,Conde,BR,-7.2597,-34.9075,76.46,83,75,12.66,broken clouds
308,Touros,BR,-5.1989,-35.4608,79.74,76,65,17.56,broken clouds
309,Buenos Aires,AR,-34.6132,-58.3772,57.99,51,0,12.66,clear sky
310,Kosh-Agach,RU,50.0,88.6667,50.23,86,100,0.87,overcast clouds
311,Jha Jha,IN,24.7667,86.3667,85.01,70,100,11.79,overcast clouds
312,Taoudenni,ML,22.6783,-3.9836,108.72,9,80,12.53,broken clouds
313,Islampur,IN,26.2667,88.2,83.52,77,100,5.66,overcast clouds
314,Beyneu,KZ,45.3167,55.2,97.14,16,0,16.55,clear sky
315,George Town,MY,5.4112,100.3354,84.13,90,20,2.3,few clouds
316,Omboue,GA,-1.5746,9.2618,72.95,81,12,8.93,few clouds
317,Devgarh,IN,25.5333,73.9,80.76,75,100,3.76,overcast clouds
318,Boz,FR,46.4071,4.9109,78.64,45,25,4.61,scattered clouds
319,Waldshut-Tiengen,DE,47.6232,8.2172,81.64,87,0,4.07,clear sky
320,Mehamn,NO,71.0357,27.8492,53.55,82,75,4.61,broken clouds
321,Sao Francisco De Assis,BR,-29.5503,-55.1311,54.48,67,9,5.06,clear sky
322,Podosinovets,RU,60.2776,47.0659,57.56,88,44,4.18,light rain
323,Tucuman,AR,-26.8241,-65.2226,66.2,30,0,4.61,clear sky
324,Santa Rita,BR,-7.1139,-34.9781,77.67,83,75,12.66,broken clouds
325,Karaikkudi,IN,10.0667,78.7833,81.79,74,100,4.9,overcast clouds
326,Ouallam,NE,14.3188,2.0866,89.74,47,100,8.72,overcast clouds
327,Kibara,TZ,-2.15,33.45,75.51,60,99,3.06,overcast clouds
328,Yabelo,ET,4.8833,38.0833,60.6,67,99,11.39,overcast clouds
329,Bonthe,SL,7.5264,-12.505,76.24,89,100,12.37,light rain
330,Saint-Georges,GD,12.0564,-61.7485,81.27,80,14,19.01,few clouds
331,General Pico,AR,-35.6566,-63.7568,62.91,23,54,17.47,broken clouds
332,Lar,IN,26.2039,83.9717,91.38,54,10,11.81,clear sky
333,Kishi,NG,9.0833,3.85,72.79,92,91,4.56,overcast clouds
334,Halifax,CA,44.6453,-63.5724,77.52,56,87,5.99,overcast clouds
335,Maragogi,BR,-9.0122,-35.2225,76.37,79,70,12.57,broken clouds
336,Borovoy,RU,55.4333,86.0833,56.48,82,75,13.42,broken clouds
337,Novobirilyussy,RU,56.9514,90.6661,52.41,99,46,2.84,light rain
338,Atakpame,TG,7.5333,1.1333,72.28,88,88,6.4,light rain
339,Tsaratanana,MG,-16.7833,47.65,67.15,71,52,12.26,broken clouds
340,La Palma,US,33.8464,-118.0467,100.94,69,40,16.11,haze
341,Morropon,PE,-5.1822,-79.9689,86.85,41,18,7.05,few clouds
342,High Rock,BS,26.6208,-78.2833,87.82,72,100,14.97,overcast clouds
343,Marawi,PH,7.9986,124.2928,68.99,96,99,3.56,overcast clouds
344,Forbesganj,IN,26.3,87.25,83.93,76,55,6.93,broken clouds
