City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Carutapera,BR,82.76,broken clouds,-1.195,-46.02,Lidera
665,Shelburne,CA,81.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
666,Brazzaville,CG,82.42,few clouds,-4.2658,15.2832,Hotel Muesse
671,Kasongo,CD,81.03,overcast clouds,-4.45,26.6667,Guest Hôtel
678,Linhares,BR,78.57,overcast clouds,-19.3911,-40.0722,Hotel Conceição
679,Dakar,SN,83.28,overcast clouds,14.6937,-17.4441,Novotel Dakar
681,Cross Lanes,US,87.53,broken clouds,38.4204,-81.7907,Wyndham Garden Cross Lanes Charleston
682,Mulki,IN,76.28,mist,13.1,74.8,Karnire Camping Ground
684,Aklera,IN,79.45,overcast clouds,24.4167,76.5667,"hotel sangam palace - Best Ac Hotels, Budget Hotels, Top Hotels"
685,Dhidhdhoo,MV,81.3,overcast clouds,6.8833,73.1,Dhidhoo beach
690,Arrecife,ES,75.18,broken clouds,28.963,-13.5477,Hotel Lancelot
693,Kerman,IR,82.26,clear sky,30.2832,57.0788,هتل آپارتمان آسام
694,Dangriga,BZ,83.75,few clouds,16.9692,-88.2321,Chaleanor Hotel
704,Zabrat,AZ,78.42,clear sky,40.4761,49.9416,Cozy room at airport road
708,Point Pedro,LK,80.47,overcast clouds,9.8167,80.2333,Gtr homes
713,Lardos,GR,89.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
719,Baran,IN,82.45,overcast clouds,25.1,76.5167,Hotel shree ji
723,Great Yarmouth,GB,75.45,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
724,Sabha,LY,86.86,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
